Node,Type,Degree,Degree Centrality,Eigenvector Centrality
1j6B3,follower,3,0.003436426116838488,0.0031542969322608306
W8dgK,follower,2,0.002290950744558992,0.00235400849203826
W0Ogl,follower,1,0.001145475372279496,0.0008397317505532706
W0YPK,follower,1,0.001145475372279496,0.0008397317505532706
7OZyq,follower,1,0.001145475372279496,0.0008397317505532706
ZOzxQ,follower,1,0.001145475372279496,0.0008397317505532706
rq8A2Y,follower,1,0.001145475372279496,0.0008397317505532706
n6aEQ,follower,1,0.001145475372279496,0.0033732136157655647
aNyzA,follower,1,0.001145475372279496,0.0033732136157655647
v7q3m,follower,1,0.001145475372279496,0.0029036644199350054
eJmB7,follower,3,0.003436426116838488,0.004268357725240152
OgrZQ,follower,3,0.003436426116838488,0.004268357725240152
k4r1p,follower,3,0.003436426116838488,0.004648068134309388
k4mo3,follower,3,0.003436426116838488,0.004268357725240152
n1mNQ,follower,2,0.002290950744558992,0.00205177412779165
8279v,follower,4,0.004581901489117984,0.0038435335418191933
DyraP,follower,1,0.001145475372279496,0.0009900188423791964
lZ95b,follower,1,0.001145475372279496,0.0009900188423791964
GE3mm,follower,1,0.001145475372279496,0.0009900188423791964
Pbyo0,follower,1,0.001145475372279496,0.0009900188423791964
d01JK,follower,2,0.002290950744558992,0.0023459326366785556
G0Z7a,follower,1,0.001145475372279496,0.0009900188423791964
W6Yq9,follower,1,0.001145475372279496,0.0009900188423791964
zZGJx,follower,1,0.001145475372279496,0.0009900188423791964
qE9Vo,follower,1,0.001145475372279496,0.0009900188423791964
Dv5yO,follower,1,0.001145475372279496,0.0009900188423791964
5QB3Y,follower,1,0.001145475372279496,0.0009900188423791964
jvXNa,follower,1,0.001145475372279496,0.0009900188423791964
NoQKQ,follower,2,0.002290950744558992,0.0014649563754687424
Zqa2jE,follower,4,0.004581901489117984,0.004124565133593409
6BBdM,follower,1,0.001145475372279496,0.0009900188423791964
VXXzb,follower,1,0.001145475372279496,0.0010617552854124532
3AOQE,follower,3,0.003436426116838488,0.005835581910470817
lzAkA,follower,2,0.002290950744558992,0.0032783388828609566
V4O3B,follower,3,0.003436426116838488,0.003441307595874274
Nk1j4,follower,4,0.004581901489117984,0.005282838737831443
KbZEz,follower,1,0.001145475372279496,0.0010617552854124532
7OkXr,follower,1,0.001145475372279496,0.0010617552854124532
Kbw1Y,follower,1,0.001145475372279496,0.0010617552854124532
k4vGgRK,follower,1,0.001145475372279496,0.0002052382358074772
9byB2lo,follower,2,0.002290950744558992,0.0008597900618335011
XyO67,follower,2,0.002290950744558992,0.0017217720091151105
Qx3kR,follower,2,0.002290950744558992,0.0015634817230767229
kvP229P,follower,1,0.001145475372279496,0.00013029891980502405
vZvYkZV,follower,1,0.001145475372279496,0.00013029891980502405
8qZNp,follower,1,0.001145475372279496,0.00013029891980502405
B0NoY,follower,2,0.002290950744558992,0.005660853605837132
d0qQK,follower,1,0.001145475372279496,0.001433182803271699
lZJJO,follower,1,0.001145475372279496,0.001433182803271699
ezXMz,follower,1,0.001145475372279496,0.001433182803271699
KEap9,follower,1,0.001145475372279496,0.001433182803271699
vYABR,follower,1,0.001145475372279496,0.001433182803271699
mgwV5,follower,1,0.001145475372279496,0.001433182803271699
vJRbY,follower,1,0.001145475372279496,0.001433182803271699
1jZpd,follower,1,0.001145475372279496,0.001433182803271699
NPB8Y,follower,7,0.008018327605956473,0.0077914536012124455
X6VKZ,follower,1,0.001145475372279496,0.001433182803271699
RYZgK,follower,1,0.001145475372279496,0.001433182803271699
JEwod,follower,1,0.001145475372279496,0.001433182803271699
KbRVO,follower,1,0.001145475372279496,0.001433182803271699
o6vw7,follower,1,0.001145475372279496,0.001433182803271699
07Ydj,follower,1,0.001145475372279496,0.001433182803271699
2MGEG,follower,1,0.001145475372279496,0.001433182803271699
JgZ6Ed,follower,1,0.001145475372279496,0.001433182803271699
laO20Wb,follower,1,0.001145475372279496,0.001433182803271699
KV0gMry,follower,1,0.001145475372279496,0.001433182803271699
